,gpu,compute,model,seq_len,batch_size,cpu_time,forward,backward,train_loss,vram_usage,vram_io,sm_util,tc_util
0,v100-16gb-300w,amp,distilroberta-base,512,8,0.0008473449999999999,0.017489,0.050107,0.378791481256485,5736.666666666667,34.166666666666664,39.235975243182,31.211033692406563
1,v100-16gb-300w,amp,distilroberta-base,512,32,0.0011597369999999999,0.019586,0.18686,0.3064666837453842,13488.666666666666,47.416666666666664,61.14098091247685,32.58048828871203
2,v100-16gb-300w,amp,distilroberta-base,512,1,0.0008578929999999999,0.019573,0.032949,0.6610750257968903,3258.6666666666665,7.416666666666667,11.284143158097827,25.483861828371932
3,v100-16gb-300w,amp,distilroberta-base,256,8,0.0008308030000000001,0.017823,0.034236,0.4105902463197708,3870.6666666666665,15.75,20.680508549975826,32.38326990806393
4,v100-16gb-300w,amp,distilroberta-base,256,64,0.0013947870000000002,0.019972,0.15003,0.3365117609500885,10194.666666666666,53.75,66.4057154671876,37.34783399024583
5,v100-16gb-300w,amp,distilroberta-base,256,32,0.0011390089999999999,0.017538,0.077182,0.33516329526901245,6488.666666666667,41.166666666666664,51.082347276096066,36.40296462706925
6,v100-16gb-300w,amp,distilroberta-base,256,1,0.000821729,0.018844,0.031686,0.661579817533493,3206.6666666666665,5.666666666666667,8.42443361809704,19.24819990968114
7,v100-16gb-300w,amp,distilroberta-base,128,8,0.000860695,0.016974,0.032592,0.461515337228775,3288.6666666666665,8.5,14.233911563482824,30.342405533659022
8,v100-16gb-300w,amp,distilroberta-base,128,64,0.001345627,0.018552,0.068529,0.3867829144001007,5690.666666666667,38.333333333333336,49.17872633551772,39.350681526595345
9,v100-16gb-300w,amp,distilroberta-base,128,32,0.0010938820000000002,0.019062,0.036678,0.39764612913131714,4376.666666666667,21.25,28.310474356323915,37.157098865251115
10,v100-16gb-300w,amp,distilroberta-base,128,256,0.010981533000000002,0.019158,0.26148,0.3210173361003399,14236.666666666666,49.333333333333336,69.22568582080572,41.31618979901706
11,v100-16gb-300w,amp,distilroberta-base,128,128,0.003740465,0.019225,0.13307,0.3471992388367653,8638.666666666666,46.0,61.9753096543032,40.54764295615199
12,v100-16gb-300w,amp,distilroberta-base,128,1,0.0006578090000000001,0.01891,0.031282,0.6733120083808899,3050.6666666666665,5.833333333333333,8.367536284000035,15.784443108643345
13,v100-16gb-300w,amp,roberta-base,512,8,0.0008535769999999999,0.031223,0.097462,0.37344016134738917,8824.666666666666,32.0,44.21994463848345,32.258944697096005
14,v100-16gb-300w,amp,roberta-base,512,1,0.000860252,0.033144,0.058342,0.6615869998931885,4338.666666666667,9.416666666666666,14.696209783718363,27.954832491190004
15,v100-16gb-300w,amp,roberta-base,256,8,0.0008707300000000001,0.030581,0.057962,0.3981196880340576,5482.666666666667,20.666666666666668,27.92545651931396,34.092711496911186
16,v100-16gb-300w,amp,roberta-base,256,32,0.001167788,0.031188,0.15312,0.3111441880464554,10764.666666666666,29.25,46.99414176280071,37.453357035054935
17,v100-16gb-300w,amp,roberta-base,256,1,0.000673308,0.031568,0.058023,0.61105677485466,4153.0,6.916666666666667,8.917829809673524,21.63821665455899
18,v100-16gb-300w,amp,roberta-base,128,8,0.0008488809999999999,0.03221,0.058497,0.4356073588132858,4394.666666666667,8.083333333333334,14.41547034940227,32.907997210342934
19,v100-16gb-300w,amp,roberta-base,128,64,0.0013750969999999998,0.030057,0.13495,0.3534301072359085,9050.666666666666,43.833333333333336,58.473099976130825,40.55559212044977
20,v100-16gb-300w,amp,roberta-base,128,32,0.001161159,0.030338,0.071185,0.3765677362680435,6534.666666666667,19.916666666666668,32.893927643518566,38.82274233017966
21,v100-16gb-300w,amp,roberta-base,128,128,0.003793364,0.031563,0.26111,0.30325843021273613,14564.666666666666,41.166666666666664,64.1389821230189,41.508006342128816
22,v100-16gb-300w,amp,roberta-base,128,1,0.000786014,0.032805,0.060158,0.6892803311347961,3978.0,7.75,10.210128469923816,17.997279798499374
23,v100-16gb-300w,amp,roberta-large,512,1,0.001042576,0.060456,0.10842,0.5955225825309753,9360.0,14.583333333333334,20.24292230550187,28.390808023361064
24,v100-16gb-300w,amp,roberta-large,256,8,0.0011282970000000001,0.059351,0.12196,0.354789599776268,12305.666666666666,24.416666666666668,37.118413624286035,37.689109474758304
25,v100-16gb-300w,amp,roberta-large,256,1,0.0010545829999999996,0.058559,0.11032,0.7158281803131104,8589.333333333334,12.333333333333334,13.496312749182735,22.313363994589643
26,v100-16gb-300w,amp,roberta-large,128,8,0.001048423,0.058788,0.10029,0.398434042930603,9425.333333333334,18.583333333333332,24.775573533245264,34.86257171117328
27,v100-16gb-300w,amp,roberta-large,128,32,0.001347545,0.056735,0.19959,0.29427923262119293,14833.333333333334,26.833333333333332,48.033069592806925,44.18405676481398
28,v100-16gb-300w,amp,roberta-large,128,1,0.0009418860000000001,0.057015,0.10807,0.7204743325710297,8575.333333333334,14.333333333333334,14.646643111919039,18.680085520206173
29,a100-40gb-400w,amp,distilroberta-base,512,8,0.0006811514000000002,0.012583,0.027651,0.37614595890045166,5756.666666666667,29.083333333333332,40.252875352818805,21.251262675843847
30,a100-40gb-400w,amp,distilroberta-base,512,64,0.0010505957999999997,0.013014,0.2147,0.2860186845064163,25024.666666666668,60.75,76.83452888407443,21.01663365384717
31,a100-40gb-400w,amp,distilroberta-base,512,32,0.0008644219,0.012854,0.10905,0.3054988533258438,13502.666666666666,48.25,63.498736575010135,21.06917163292313
32,a100-40gb-400w,amp,distilroberta-base,256,8,0.0006353394999999998,0.013309,0.015835,0.40856197476387024,3890.6666666666665,14.083333333333334,23.56899364111363,21.03756877557579
33,a100-40gb-400w,amp,distilroberta-base,256,64,0.0009825946,0.013361,0.085638,0.32168522477149963,10214.666666666666,41.916666666666664,60.37790861413424,23.3973504188387
34,a100-40gb-400w,amp,distilroberta-base,256,32,0.0008766094999999999,0.012973,0.044333,0.338354229927063,6490.666666666667,33.0,43.07179754964105,22.848094252659873
35,a100-40gb-400w,amp,distilroberta-base,256,256,0.0073374142,0.013654,0.33375,0.25378832407295704,32110.666666666668,57.583333333333336,80.12358659873115,23.393194566877444
36,a100-40gb-400w,amp,distilroberta-base,256,128,0.0032202090000000004,0.014039,0.16865,0.27707334235310555,17658.0,55.916666666666664,75.02725102980375,23.51565646267807
37,a100-40gb-400w,amp,distilroberta-base,128,8,0.0006022275000000001,0.013063,0.015423,0.46825629472732544,3308.6666666666665,8.083333333333334,19.435362007338355,21.70696240969855
38,a100-40gb-400w,amp,distilroberta-base,128,64,0.0010320086,0.012717,0.037983,0.3914722204208374,5698.666666666667,30.25,46.47634813319894,24.061723387311236
39,a100-40gb-400w,amp,distilroberta-base,128,32,0.0008826700000000001,0.013346,0.020136,0.39805932343006134,4488.666666666667,15.0,27.957325993350032,23.637351279367277
40,a100-40gb-400w,amp,distilroberta-base,128,256,0.0075270837,0.013471,0.14608,0.31283050402998924,14250.666666666666,46.25,68.10969420429879,25.264418381961153
41,a100-40gb-400w,amp,distilroberta-base,128,128,0.0028605087999999993,0.012916,0.074697,0.3490978255867958,8654.666666666666,33.416666666666664,54.13622656926347,24.968629901308564
42,a100-40gb-400w,amp,roberta-base,512,8,0.0006961186999999999,0.0216,0.053691,0.39905811846256256,8844.666666666666,33.333333333333336,50.30446803889885,21.955251450392318
43,a100-40gb-400w,amp,roberta-base,512,32,0.0008995902999999999,0.025556,0.21201,0.27776576578617096,24326.666666666668,59.166666666666664,76.33821208057606,21.460747067165475
44,a100-40gb-400w,amp,roberta-base,512,1,0.0005890288000000002,0.021318,0.02665,0.668910413980484,4358.666666666667,7.666666666666667,19.65026813239674,20.220200343559107
45,a100-40gb-400w,amp,roberta-base,256,8,0.0007384432000000002,0.022016,0.029203,0.38847848773002625,5496.666666666667,15.0,28.19510729653119,22.24342239594006
46,a100-40gb-400w,amp,roberta-base,256,64,0.0010895273,0.021793,0.16852,0.2778234928846359,17726.666666666668,47.75,69.82069498641353,23.96290465089096
47,a100-40gb-400w,amp,roberta-base,256,32,0.0009414774000000002,0.020988,0.085299,0.3075940012931824,10662.0,36.333333333333336,56.87018170208138,23.53515606333977
48,a100-40gb-400w,amp,roberta-base,256,128,0.0028225521999999995,0.024094,0.33226,0.23643845692276955,32022.666666666668,56.166666666666664,79.57067191081221,23.936873258185873
49,a100-40gb-400w,amp,roberta-base,256,1,0.0006194828999999998,0.021232,0.026735,0.5193656980991364,4168.666666666667,6.083333333333333,16.896986704429622,18.243101648592344
50,a100-40gb-400w,amp,roberta-base,128,8,0.0007022585999999999,0.023369,0.028177,0.437721386551857,4408.666666666667,6.583333333333333,19.599446402137666,23.407047462571857
51,a100-40gb-400w,amp,roberta-base,128,64,0.0013206504000000002,0.023903,0.072802,0.35161876678466797,9174.0,30.25,52.73956061453042,24.837477754587518
52,a100-40gb-400w,amp,roberta-base,128,32,0.0009130021,0.02097,0.037197,0.3681313842535019,6408.666666666667,18.666666666666668,36.75628109718396,24.685200309270677
53,a100-40gb-400w,amp,roberta-base,128,256,0.0078610413,0.022475,0.2875,0.2698737718164921,25616.666666666668,54.833333333333336,79.53465965300819,25.785243197810253
54,a100-40gb-400w,amp,roberta-base,128,128,0.0028798642000000003,0.024026,0.14512,0.2989639639854431,14584.666666666666,42.083333333333336,66.67080302444539,25.638373568129172
55,a100-40gb-400w,amp,roberta-base,128,1,0.0006210073999999999,0.025283,0.028425,0.6023816764354706,3990.6666666666665,6.166666666666667,14.920058866903384,17.40347983274734
56,a100-40gb-400w,amp,roberta-large,512,8,0.0008686254000000001,0.037669,0.15049,0.3480429947376251,21365.333333333332,44.416666666666664,66.47999580676372,25.16202509548825
57,a100-40gb-400w,amp,roberta-large,512,1,0.0007658509,0.044713,0.05361,0.6928815841674805,9374.0,13.916666666666666,27.36497274030173,21.083512282442417
58,a100-40gb-400w,amp,roberta-large,256,8,0.0008201262,0.037702,0.063245,0.37281548976898193,12325.666666666666,21.666666666666668,40.36238160439587,27.261912283616688
59,a100-40gb-400w,amp,roberta-large,256,32,0.0010505345999999999,0.037939,0.23231,0.23475496470928192,26143.333333333332,44.166666666666664,69.45512865949715,27.733734732153323
60,a100-40gb-400w,amp,roberta-large,256,1,0.0008004971,0.037631,0.05294,0.697856068611145,8602.0,10.25,25.033616461417743,19.311092485229995
61,a100-40gb-400w,amp,roberta-large,128,8,0.0008427068999999999,0.037499,0.053756,0.38141675293445587,9445.333333333334,12.583333333333334,28.248679248484066,26.29456759798313
62,a100-40gb-400w,amp,roberta-large,128,64,0.0014212720000000001,0.03838,0.202,0.2969752997159958,21923.333333333332,44.666666666666664,71.57456953018777,29.821908047739146
63,a100-40gb-400w,amp,roberta-large,128,32,0.0010664051999999997,0.037845,0.10339,0.3004990816116333,14683.333333333334,30.583333333333332,56.527654847168264,29.295365908482644
64,a100-40gb-400w,amp,roberta-large,128,128,0.003156646,0.038878,0.39837,0.23371387273073196,35999.333333333336,51.416666666666664,79.58035773061775,30.809218228592258
