gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
15.0,3276.0,37260.0,6.0,49,,
15.0,3276.0,37260.0,6.0,49,,
33.0,3276.0,37260.0,13.0,99,,
12.0,3276.0,37260.0,5.0,99,,
28.0,3276.0,37260.0,11.0,149,,
7.0,3276.0,37260.0,3.0,149,,
19.0,3276.0,37260.0,8.0,199,,
7.0,3276.0,37260.0,3.0,199,,
32.0,3284.0,37252.0,12.0,249,,
12.0,3284.0,37252.0,5.0,249,,
34.0,3284.0,37252.0,13.0,299,,
7.0,3284.0,37252.0,3.0,299,,
,,,,299,0.625178873538971,0
