gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
98.0,25610.0,14926.0,67.0,49,,
100.0,25610.0,14926.0,69.0,49,,
,,,,96,0.4376164972782135,0
63.0,25610.0,14926.0,43.0,99,,
90.0,25610.0,14926.0,61.0,99,,
100.0,25618.0,14918.0,69.0,149,,
100.0,25618.0,14918.0,69.0,149,,
,,,,193,0.24939841032028198,1
80.0,25618.0,14918.0,55.0,199,,
100.0,25618.0,14918.0,69.0,199,,
48.0,25618.0,14918.0,33.0,249,,
72.0,25618.0,14918.0,50.0,249,,
,,,,290,0.21519944071769714,2
37.0,25626.0,14910.0,26.0,299,,
69.0,25626.0,14910.0,47.0,299,,
,,,,299,0.18548478186130524,3
