gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
22.0,8572.0,31964.0,9.0,49,,
18.0,8572.0,31964.0,5.0,49,,
29.0,8580.0,31956.0,10.0,99,,
23.0,8580.0,31956.0,9.0,99,,
30.0,8588.0,31948.0,11.0,149,,
22.0,8588.0,31948.0,9.0,149,,
16.0,8588.0,31948.0,8.0,199,,
24.0,8596.0,31940.0,9.0,199,,
23.0,8596.0,31940.0,9.0,249,,
18.0,8596.0,31940.0,4.0,249,,
31.0,8604.0,31932.0,12.0,299,,
19.0,8604.0,31932.0,9.0,299,,
,,,,299,0.7210531234741211,0
