gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
72.0,5741.0,6322.0,66.0,49,,
51.0,5741.0,6322.0,44.0,49,,
67.0,5741.0,6322.0,65.0,99,,
51.0,5741.0,6322.0,47.0,99,,
78.0,5741.0,6322.0,73.0,149,,
51.0,5741.0,6322.0,44.0,149,,
62.0,5741.0,6322.0,60.0,199,,
55.0,5741.0,6322.0,48.0,199,,
47.0,5749.0,6314.0,45.0,249,,
51.0,5749.0,6314.0,47.0,249,,
69.0,5749.0,6314.0,66.0,299,,
52.0,5749.0,6314.0,45.0,299,,
96.0,5749.0,6314.0,83.0,349,,
32.0,5749.0,6314.0,29.0,349,,
,,,,389,0.3614265024662018,0
