gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
82.0,5642.0,6421.0,80.0,49,,,
41.0,5642.0,6421.0,39.0,49,,,
89.0,5642.0,6421.0,83.0,99,,,
37.0,5642.0,6421.0,35.0,99,,,
54.0,5642.0,6421.0,53.0,149,,,
41.0,5642.0,6421.0,39.0,149,,,
93.0,5642.0,6421.0,87.0,199,,,
33.0,5642.0,6421.0,31.0,199,,,
84.0,5650.0,6413.0,81.0,249,,,
41.0,5650.0,6413.0,38.0,249,,,
52.0,5650.0,6413.0,52.0,299,,,
42.0,5650.0,6413.0,40.0,299,,,
93.0,5650.0,6413.0,89.0,349,,,
40.0,5650.0,6413.0,36.0,349,,,
93.0,5650.0,6413.0,86.0,399,,,
31.0,5650.0,6413.0,29.0,399,,,
75.0,5650.0,6413.0,73.0,449,,,
42.0,5650.0,6413.0,39.0,449,,,
45.0,5658.0,6405.0,45.0,499,,,
42.0,5658.0,6405.0,39.0,499,,,
,,,,499,0.3214816451072693,0,
,,,,500,,0,0.20611050724983215
