gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
49.0,5687.0,10468.0,36.0,49,,,
45.0,5687.0,10468.0,32.0,49,,,
48.0,5679.0,10476.0,36.0,99,,,
44.0,5679.0,10476.0,32.0,99,,,
54.0,5679.0,10476.0,40.0,149,,,
37.0,5679.0,10476.0,27.0,149,,,
30.0,5679.0,10476.0,22.0,199,,,
47.0,5679.0,10476.0,34.0,199,,,
81.0,5687.0,10468.0,59.0,249,,,
42.0,5687.0,10468.0,31.0,249,,,
51.0,5687.0,10468.0,38.0,299,,,
11.0,5687.0,10468.0,9.0,299,,,
,,,,299,0.3892098665237427,0,
,,,,300,,0,0.28304651379585266
