gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
25.0,10192.0,5963.0,20.0,49,,
89.0,10192.0,5963.0,69.0,49,,
66.0,10192.0,5963.0,52.0,99,,
46.0,10192.0,5963.0,36.0,99,,
51.0,10192.0,5963.0,40.0,149,,
34.0,10192.0,5963.0,27.0,149,,
88.0,10192.0,5963.0,69.0,199,,
94.0,10192.0,5963.0,73.0,199,,
87.0,10200.0,5955.0,68.0,249,,
73.0,10200.0,5955.0,57.0,249,,
88.0,10200.0,5955.0,69.0,299,,
83.0,10200.0,5955.0,65.0,299,,
,,,,299,0.35447603464126587,0
