gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
17.0,4148.0,12007.0,10.0,49,,
15.0,4148.0,12007.0,8.0,49,,
14.0,4148.0,12007.0,8.0,99,,
12.0,4148.0,12007.0,8.0,99,,
11.0,4156.0,11999.0,7.0,149,,
8.0,4156.0,11999.0,6.0,149,,
6.0,4150.0,12005.0,5.0,199,,
3.0,4150.0,12005.0,3.0,199,,
16.0,4158.0,11997.0,9.0,249,,
13.0,4158.0,11997.0,6.0,249,,
10.0,4158.0,11997.0,7.0,299,,
8.0,4158.0,11997.0,6.0,299,,
,,,,299,0.6390159726142883,0
