gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
8.0,8572.0,7583.0,9.0,49,,
23.0,8572.0,7583.0,18.0,49,,
11.0,8580.0,7575.0,11.0,99,,
8.0,8580.0,7575.0,9.0,99,,
6.0,8588.0,7567.0,7.0,149,,
20.0,8588.0,7567.0,17.0,149,,
5.0,8596.0,7559.0,5.0,199,,
21.0,8596.0,7559.0,17.0,199,,
9.0,8596.0,7559.0,10.0,249,,
25.0,8596.0,7559.0,19.0,249,,
19.0,8604.0,7551.0,16.0,299,,
10.0,8604.0,7551.0,10.0,299,,
,,,,299,0.7090162038803101,0
